grp,len_run,start,end
1790,140,2019-07-16,2019-12-03
749,133,2013-06-07,2013-10-18
1253,122,2016-06-16,2016-10-16
2204,107,2022-06-16,2022-10-01
320,106,2011-06-17,2011-10-01
1584,103,2018-06-17,2018-09-28
1891,102,2020-06-21,2020-10-01
1407,99,2017-06-21,2017-09-28
548,98,2012-06-30,2012-10-06
2052,98,2021-07-06,2021-10-12
143,97,2010-06-30,2010-10-05
913,93,2014-07-10,2014-10-11
1046,78,2015-07-16,2015-10-02
2351,74,2023-06-20,2023-09-02
1792,58,2019-12-05,2020-02-01
948,40,2014-12-11,2015-01-20
2081,38,2021-12-23,2022-01-30
2386,35,2023-12-20,2024-01-24
791,29,2014-01-08,2014-02-06
2352,29,2023-09-03,2023-10-02
2385,24,2023-11-25,2023-12-19
1039,22,2015-06-09,2015-07-01
1789,22,2019-06-23,2019-07-15
2,19,2010-01-03,2010-01-22
1286,19,2016-12-23,2017-01-11
1289,19,2017-01-15,2017-02-03
2050,18,2021-06-15,2021-07-03
2243,18,2023-01-18,2023-02-05
1408,17,2017-09-29,2017-10-16
2206,17,2022-10-03,2022-10-20
386,15,2011-12-29,2012-01-13
650,15,2013-02-10,2013-02-25
798,15,2014-02-20,2014-03-07
1931,15,2020-12-30,2021-01-14
159,14,2010-11-07,2010-11-21
1280,14,2016-11-28,2016-12-12
1793,14,2020-02-02,2020-02-16
2239,14,2022-12-30,2023-01-13
1918,13,2020-11-11,2020-11-24
2387,13,2024-01-25,2024-02-07
2383,12,2023-11-10,2023-11-22
949,11,2015-01-21,2015-02-01
1441,11,2017-12-06,2017-12-17
1445,11,2017-12-27,2018-01-07
1927,11,2020-12-10,2020-12-21
2230,11,2022-11-25,2022-12-06
161,10,2010-11-23,2010-12-03
750,10,2013-10-19,2013-10-29
951,10,2015-02-06,2015-02-16
965,10,2015-03-10,2015-03-20
165,9,2010-12-08,2010-12-17
173,9,2010-12-29,2011-01-07
790,9,2013-12-29,2014-01-07
1066,9,2015-10-26,2015-11-04
1123,9,2016-01-14,2016-01-23
1585,9,2018-09-29,2018-10-08
1899,9,2020-10-11,2020-10-20
2056,9,2021-10-22,2021-10-31
2306,9,2023-04-26,2023-05-05
149,8,2010-10-15,2010-10-23
799,8,2014-03-08,2014-03-16
914,8,2014-10-12,2014-10-20
1890,8,2020-06-12,2020-06-20
2075,8,2021-12-09,2021-12-17
986,7,2015-04-10,2015-04-17
1043,7,2015-07-06,2015-07-13
1087,7,2015-11-28,2015-12-05
1293,7,2017-02-09,2017-02-16
1425,7,2017-11-11,2017-11-18
1467,7,2018-02-10,2018-02-17
1934,7,2021-01-23,2021-01-30
2069,7,2021-11-19,2021-11-26
2074,7,2021-12-01,2021-12-08
2274,7,2023-03-16,2023-03-23
787,6,2013-12-20,2013-12-26
961,6,2015-02-27,2015-03-05
1127,6,2016-01-27,2016-02-02
1630,6,2018-11-26,2018-12-02
1658,6,2019-01-05,2019-01-11
1921,6,2020-11-27,2020-12-03
2055,6,2021-10-15,2021-10-21
2086,6,2022-02-07,2022-02-13
17,5,2010-02-09,2010-02-14
150,5,2010-10-24,2010-10-29
378,5,2011-12-12,2011-12-17
795,5,2014-02-12,2014-02-17
1277,5,2016-11-20,2016-11-25
1283,5,2016-12-15,2016-12-20
1422,5,2017-11-03,2017-11-08
1443,5,2017-12-19,2017-12-24
1666,5,2019-01-22,2019-01-27
1885,5,2020-06-02,2020-06-07
1928,5,2020-12-22,2020-12-27
1933,5,2021-01-17,2021-01-22
2234,5,2022-12-14,2022-12-19
2236,5,2022-12-22,2022-12-27
2365,5,2023-10-15,2023-10-20
2391,5,2024-02-11,2024-02-16
135,4,2010-06-14,2010-06-18
191,4,2011-01-28,2011-02-01
371,4,2011-11-30,2011-12-04
389,4,2012-01-16,2012-01-20
615,4,2012-12-24,2012-12-28
647,4,2013-02-03,2013-02-07
781,4,2013-12-08,2013-12-12
1275,4,2016-11-14,2016-11-18
1668,4,2019-01-31,2019-02-04
1798,4,2020-02-21,2020-02-25
1819,4,2020-03-24,2020-03-28
1939,4,2021-02-04,2021-02-08
2049,4,2021-06-10,2021-06-14
2228,4,2022-11-19,2022-11-23
2268,4,2023-03-06,2023-03-10
142,3,2010-06-26,2010-06-29
144,3,2010-10-06,2010-10-09
170,3,2010-12-23,2010-12-26
322,3,2011-10-03,2011-10-06
366,3,2011-11-20,2011-11-23
383,3,2011-12-23,2011-12-26
609,3,2012-12-15,2012-12-18
618,3,2012-12-31,2013-01-03
668,3,2013-03-15,2013-03-18
759,3,2013-11-07,2013-11-10
918,3,2014-10-24,2014-10-27
930,3,2014-11-13,2014-11-16
939,3,2014-11-26,2014-11-29
950,3,2015-02-02,2015-02-05
1140,3,2016-02-15,2016-02-18
1397,3,2017-06-06,2017-06-09
1411,3,2017-10-19,2017-10-22
1452,3,2018-01-18,2018-01-21
1466,3,2018-02-06,2018-02-09
1675,3,2019-02-12,2019-02-15
1686,3,2019-03-01,2019-03-04
1726,3,2019-04-15,2019-04-18
1815,3,2020-03-17,2020-03-20
1900,3,2020-10-21,2020-10-24
2030,3,2021-05-16,2021-05-19
2060,3,2021-11-05,2021-11-08
2215,3,2022-10-30,2022-11-02
2232,3,2022-12-08,2022-12-11
2254,3,2023-02-16,2023-02-19
2376,3,2023-10-31,2023-11-03
